id,name,category,description,specs,effort_hours,budget_tier,dependencies
D001,Primary Logo,Identity,Main brand mark used across all touchpoints,"SVG + PNG + PDF, full color + reversed",8-12,essential,
D002,Logo Variations,Identity,Secondary and alternate logo lockups,"Horizontal + stacked + icon-only versions",4-6,essential,D001
D003,Color Palette,Identity,Brand color system with usage guidelines,"Primary + secondary + neutral hex codes + CMYK + Pantone",3-4,essential,
D004,Typography Selection,Identity,Brand typeface system with hierarchy rules,"Heading + body + accent fonts + sizing scale",2-3,essential,
D005,Business Cards,Print,Standard business card design,"3.5x2 in, front + back, CMYK print-ready",3-5,essential,"D001,D003,D004"
D006,Letterhead,Print,Official branded stationery,"8.5x11 in, print-ready PDF + Word template",3-4,essential,"D001,D003,D004"
D007,Email Signature,Digital,Branded HTML email signature,"HTML + plain text versions, responsive",2-3,essential,"D001,D003,D004"
D008,Brand Guidelines (1-page),Documentation,Quick-reference brand standards sheet,"Single-page PDF with core rules",4-6,essential,"D001,D002,D003,D004"
D009,Social Media Profile Images,Social Media,Avatar and profile photo crops for major platforms,"1x1 optimized for Facebook/Instagram/LinkedIn/Twitter",2-3,standard,"D001,D003"
D010,Social Media Post Templates,Social Media,Reusable post templates for feed content,"Square + portrait + landscape Canva/Figma templates",6-10,standard,"D001,D003,D004"
D011,Presentation Template,Digital,Branded slide deck template,"16:9 Google Slides + PowerPoint, 10 slide layouts",8-12,standard,"D001,D003,D004"
D012,Website Design,Digital,Homepage and core page designs,"Desktop + mobile mockups for 3-5 pages",24-40,standard,"D001,D003,D004"
D013,Favicon & App Icons,Digital,Browser favicon and mobile app icon set,"16x16 to 512x512 PNG + ICO + SVG",2-3,standard,D001
D014,Invoice Template,Print,Branded billing document,"PDF + Word/Google Docs template",2-3,standard,"D001,D003,D004"
D015,Envelope Design,Print,Branded envelope (#10 and optional A2),"Print-ready PDF with bleed marks",2-3,standard,"D001,D003,D004"
D016,Branded Photography Style Guide,Documentation,Visual direction for brand photography,"Mood board + lighting + subject + color grading guidelines",4-6,standard,"D003,D004"
D017,Email Newsletter Template,Digital,HTML email template for campaigns,"Responsive HTML, header + body + footer + CTA blocks",6-8,standard,"D001,D003,D004"
D018,LinkedIn Banner,Social Media,Professional cover image for LinkedIn company page,"1584x396 px optimized",1-2,standard,"D001,D003"
D019,Twitter/X Header,Social Media,Cover image for Twitter/X profile,"1500x500 px optimized",1-2,standard,"D001,D003"
D020,Brand Guidelines (Full),Documentation,Comprehensive brand standards document,"20-40 page PDF covering all usage rules",16-24,standard,"D001,D002,D003,D004"
D021,Proposal Template,Print,Branded client proposal document,"PDF + Word/Google Docs, 10+ page template",4-6,standard,"D001,D003,D004"
D022,Facebook/Instagram Story Templates,Social Media,Vertical story format templates,"9:16 ratio, 5+ layout variations",4-6,standard,"D001,D003,D004"
D023,YouTube Channel Art,Social Media,YouTube banner and thumbnail template,"2560x1440 channel art + 1280x720 thumbnail template",2-4,standard,"D001,D003"
D024,Brand Pattern / Texture,Identity,Repeating brand pattern for backgrounds and packaging,"Vector SVG + seamless tile PNG",4-8,standard,"D001,D003"
D025,Icon Library,Digital,Custom branded icon set for UI and marketing,"24px and 48px SVG set, 20-30 icons",12-20,standard,"D003,D004"
D026,Packaging Design,Marketing,Product packaging artwork and structure,"Dieline + print-ready PDF, front + back + sides",16-24,premium,"D001,D002,D003,D004"
D027,Trade Show Booth Design,Environmental,Exhibition booth display graphics,"10x10 and/or 10x20 ft layout, print-ready files",20-32,premium,"D001,D002,D003,D004"
D028,Vehicle Wrap Design,Environmental,Branded vehicle livery design,"Full vehicle template + print-ready files per vehicle type",16-24,premium,"D001,D002,D003,D004"
D029,T-Shirt Design,Merchandise,Branded apparel graphic,"Front + back print files, screen print + DTG ready",4-6,premium,"D001,D003,D004"
D030,Mug Design,Merchandise,Branded drinkware wrap design,"11 oz + 15 oz mug wrap, print-ready PDF",2-3,premium,"D001,D003,D004"
D031,Tote Bag Design,Merchandise,Branded canvas tote artwork,"Single color + full color versions",2-3,premium,"D001,D003"
D032,Indoor Signage,Environmental,Lobby and interior wayfinding signs,"Vector files at print scale, multiple sizes",12-20,premium,"D001,D002,D003,D004"
D033,Outdoor Signage,Environmental,Exterior sign and building identification,"Monument sign + fascia sign designs, weather-resistant specs",16-24,premium,"D001,D002,D003,D004"
D034,Annual Report Design,Documentation,Year-in-review publication design,"Print + digital PDF, 20-50 pages",32-48,premium,"D001,D002,D003,D004"
D035,Internal Comms Templates,Internal,Branded memo and internal document templates,"Word + Google Docs + email templates",4-8,premium,"D001,D003,D004"
D036,Video Intro/Outro,Video,Branded motion sequence for video content,"5-10 sec animated opener + closer, MP4 + MOV",8-16,premium,"D001,D003,D004"
D037,Animated Logo,Video,Motion version of primary logo,"3-5 sec loop, GIF + MP4 + Lottie JSON",12-20,premium,"D001,D002"
D038,Branded Environment Design,Environmental,Office or retail space branding concept,"Wall graphics + signage + spatial identity guidelines",40-60,premium,"D001,D002,D003,D004"
D039,Wayfinding Signage System,Environmental,Directional and informational sign system,"Sign family specs + placement guide + print-ready files",24-40,premium,"D001,D002,D003,D004"
D040,Recruitment Materials,Internal,Branded hiring and employer brand assets,"Job posting template + onboarding folder + offer letter",8-12,premium,"D001,D003,D004"
D041,Onboarding Kit,Internal,New employee welcome package design,"Welcome packet + checklist + digital and print versions",8-14,premium,"D001,D003,D004"
D042,Crisis Comms Templates,Internal,Pre-approved messaging templates for crisis situations,"Statement templates + social holding posts + email drafts",4-6,premium,"D001,D003,D004"
D043,Investor Deck Template,Digital,Branded pitch and investor presentation,"16:9 template, 15-20 slide layouts, executive-grade design",12-20,premium,"D001,D002,D003,D004"
D044,Product Photography Guidelines,Documentation,Visual standards for product imagery,"Lighting setup + backdrop + angle + editing style guide",6-10,premium,"D003,D004,D016"
D045,Brand Video (Sizzle Reel),Video,Short brand story or overview video,"60-90 sec branded video with motion graphics, MP4",40-80,enterprise,"D001,D002,D003,D004,D037"
D046,Campaign Identity System,Marketing,Full visual system for a marketing campaign,"Campaign logo + color + templates + social + print assets",24-40,enterprise,"D001,D002,D003,D004"
D047,Retail Merchandising System,Marketing,Point-of-sale and in-store display materials,"Shelf talkers + display banners + floor graphics",20-32,enterprise,"D001,D002,D003,D004,D026"
D048,Motion Graphics Style Guide,Video,Rules and templates for branded motion and animation,"Timing + easing + color + type in motion guidelines",16-24,enterprise,"D001,D003,D004,D037"
D049,Sub-Brand Architecture,Identity,System for managing product or division brands,"Naming + logo variants + color coding + relationship map",24-40,enterprise,"D001,D002,D003,D004"
D050,Brand Audit Report,Documentation,Assessment of current brand usage and consistency,"Gap analysis + compliance score + recommendations PDF",16-24,enterprise,"D001,D002,D003,D004,D020"
D051,Interactive Brand Portal,Digital,Web-based self-service brand asset hub,"Hosted site with downloadable assets + usage guidance",40-60,enterprise,"D001,D002,D003,D004,D020"
D052,Branded App UI Kit,Digital,UI component library aligned to brand system,"Figma/Sketch component library with brand tokens",32-48,enterprise,"D001,D003,D004,D025"
D053,Product Label Design,Marketing,Retail product label artwork,"Front + back + side panels, print-ready with barcode area",8-12,enterprise,"D001,D002,D003,D004"
D054,Corporate Uniform Design,Merchandise,Branded staff and uniform identity,"Embroidery + print specs for shirt + jacket + cap",8-14,enterprise,"D001,D003"
D055,Sponsorship & Partnership Kit,Marketing,Branded materials for co-marketing and sponsorships,"Logo placement guide + co-brand rules + event assets",8-12,enterprise,"D001,D002,D003,D004,D020"
