id,style_name,design_system,characteristics,best_for,font_mood
S001,Clean Modern,tech-minimal,"Generous whitespace, restrained color, geometric sans-serif type, subtle grid alignment","SaaS, tech startups, fintech, productivity tools","Sharp, legible, neutral — Inter / DM Sans / Neue Haas Grotesk"
S002,Bold Statement,brutalist-bold,"High contrast, oversized type, raw grid breaks, limited palette pushed to extremes","Creative agencies, streetwear, disruptive brands, cultural orgs","Expressive, impactful, unapologetic — Druk / Anton / Space Grotesk"
S003,Warm Professional,editorial-modern,"Serif headlines mixed with clean sans body, warm neutrals, editorial white space","Consulting, coaching, premium food, lifestyle brands","Refined, approachable, authoritative — Playfair Display / Libre Baskerville"
S004,Friendly Approachable,playful-rounded,"Rounded corners on all elements, bright accent pops, soft shadows, bubbly letterforms","Education, health apps, children's brands, community platforms","Cheerful, soft, inviting — Nunito / Poppins / Quicksand"
S005,Data-Driven Executive,executive-clean,"Structured layout, navy/slate color system, tabular numerals, minimal decoration","Finance, legal, insurance, government, B2B enterprise","Authoritative, precise, trustworthy — IBM Plex Sans / Libre Franklin / Roboto"
S006,Minimalist Luxury,tech-minimal,"Ultra-thin letterforms, maximum negative space, monochromatic or near-mono palette, tactile texture in print","High-end retail, jewelry, architecture, luxury hospitality","Whisper-quiet, rarefied — Optima / Cormorant Garamond / EB Garamond"
S007,Energetic Startup,playful-rounded,"Gradient fills, bold color blocking, motion-forward design, informal hierarchy","Consumer apps, gaming, fitness tech, social platforms","Dynamic, youthful, punchy — Syne / Outfit / Cabin"
S008,Serious Enterprise,executive-clean,"Dense information hierarchy, systematic color coding, icon-heavy UI language, formal grid","Enterprise software, security firms, managed services, compliance","Dense, structured, reliable — Source Sans Pro / Open Sans / Noto Sans"
S009,Creative Portfolio,brutalist-bold,"Asymmetric layouts, layered typography, high-texture backgrounds, rule-breaking composition","Photographers, illustrators, designers, film studios","Idiosyncratic, textured, memorable — Bebas Neue / PP Editorial / Clash Display"
S010,Editorial Magazine,editorial-modern,"Classic serif display type, multi-column grid, strong image-to-text contrast, art-directed hierarchy","Media companies, publishers, cultural institutions, journalism","Cultured, narrative-driven, elegant — GT Super / Canela / Freight Display"
S011,Industrial Craft,brutalist-bold,"Raw materials palette, monospaced type accents, exposed grid lines, utility-first layout","Makers, breweries, hardware brands, workshop culture, trades","Utilitarian, honest, direct — Courier Prime / Barlow Condensed / Work Sans"
S012,Approachable Health,playful-rounded,"Organic shapes, nature-inspired greens and earth tones, open line icons, calming whitespace","Wellness brands, clinics, supplements, mental health apps","Nurturing, clear, grounded — Lato / Jost / Mulish"
