id,industry,typical_deliverables,priority_focus,notes
I001,Technology / SaaS,"D001,D002,D003,D004,D007,D009,D010,D012,D013,D017,D018,D025,D037,D043,D052",Digital presence and developer trust,"Favors clean minimal aesthetics; digital-first; UI kit often needed early; investor deck critical for funded startups"
I002,Finance / Fintech,"D001,D002,D003,D004,D005,D006,D007,D011,D012,D014,D020,D035,D043,D050",Trust credibility and compliance-readiness,"Conservative color use; heavy documentation standards; print collateral still important for enterprise sales"
I003,Healthcare,"D001,D002,D003,D004,D005,D006,D007,D008,D011,D012,D016,D020,D035,D040,D041",Accessibility and patient trust,"ADA contrast requirements critical; wayfinding and environmental signage often needed for clinics; warm approachable tone"
I004,Retail / E-commerce,"D001,D002,D003,D004,D009,D010,D012,D013,D017,D024,D026,D047,D053",Visual merchandising and packaging,"Packaging and product labels are primary; social media templates high volume; photography guidelines essential"
I005,Food & Beverage,"D001,D002,D003,D004,D009,D010,D016,D024,D026,D029,D030,D031,D053",Packaging and sensory brand experience,"Label and packaging design are often the brand; menu design needed; social content volume is high; warm/appetite-driven aesthetics"
I006,Real Estate,"D001,D002,D003,D004,D005,D006,D011,D012,D014,D015,D016,D018,D021,D032,D033",Print collateral and property marketing,"Signage and environmental branding critical; property photo guidelines essential; proposal templates high use"
I007,Creative / Agency,"D001,D002,D003,D004,D011,D012,D013,D018,D020,D024,D025,D037,D038,D048",Portfolio presentation and brand differentiation,"Agency brand must demonstrate creativity; animated logo and motion assets often expected; experimental aesthetics welcome"
I008,Education,"D001,D002,D003,D004,D005,D006,D008,D010,D011,D016,D032,D033,D039,D040,D041",Campus identity and recruitment materials,"Wayfinding critical for campuses; recruitment and onboarding kits high priority; accessible and inclusive design required"
I009,Legal,"D001,D002,D003,D004,D005,D006,D007,D011,D014,D015,D020,D021,D035",Print credibility and professional trust,"Print-first discipline; dark navy/charcoal palettes dominant; proposal and letterhead templates heavily used; minimal digital needs initially"
I010,Manufacturing,"D001,D002,D003,D004,D005,D006,D007,D011,D020,D027,D028,D032,D033,D054",Trade presence and industrial identity,"Vehicle wraps and trade show booth are primary; safety signage integration common; durable materials spec knowledge needed"
I011,Hospitality,"D001,D002,D003,D004,D005,D010,D012,D016,D024,D026,D029,D030,D031,D032,D038",Guest experience and environmental branding,"Environmental and spatial branding critical; merchandise (amenity kits) common; photography style guide essential; warm luxury aesthetic"
I012,Non-Profit,"D001,D002,D003,D004,D008,D010,D011,D016,D020,D034,D035,D040,D041,D055",Mission storytelling and donor credibility,"Annual report is flagship deliverable; budget-conscious — essential tier first; partnership and sponsorship kit needed for fundraising"
I013,Professional Services,"D001,D002,D003,D004,D005,D006,D007,D011,D014,D015,D020,D021,D035,D043",Credibility and lead-generation collateral,"Proposal and pitch deck templates are most-used assets; consistent print materials signal professionalism; case study templates often needed"
I014,Consumer Packaged Goods,"D001,D002,D003,D004,D009,D010,D024,D026,D029,D030,D031,D047,D053",Shelf presence and consumer packaging,"Packaging and label design are the core deliverable; retail merchandising system needed at scale; high social content volume"
